"School Name","Education Agency","School Location","City","State","Zip","Type of School","School status at time of last report","School Level","County","Grades Offered","Total Students","Full-time-equivalent Classroom Teachers","Student/Teacher Ratio","National School Lunch Program Status","Free and Reduced-price Lunch Eligible Students","Title I Eligible","School-wide Title I","Title I Status","GreatSchools Link","NCES Public School ID","Urban-centric Locale","Magnet School","Charter School","Shared-time School","Virtual School","Reconstituted","Total Students","Prekindergarten Students","Kindergarten Students","Grade 1 Students","Grade 2 Students","Grade 3 Students","Grade 4 Students","Grade 5 Students","Grade 6 Students","Grade 7 Students","Grade 8 Students","Grade 9 Students","Grade 10 Students","Grade 11 Students","Grade 12 Students","High School Students Earning College Credit or CTE Students Beyo","Adult Education Students","Ungraded Students","White, Non-Hispanic Students","Hispanic Students","Black, Non-Hispanic Students","Asian, Non-Hispanic Students","American Indian/Alaska Native Students","Hawaiian Native/Pacific Islander Students","Two or More Races Students","Percent White, Non-Hispanic","Percent Hispanic","Percent Black, Non-Hispanic","Percent Asian, Non-Hispanic","Percent American Indian/Alaska Native","Percent Hawaiian Native/Pacific Islander","Percent Two or More Races","All Female High School","Majority Minority High School","Inner City High School"
"Pleasanton Middle","Pleasanton Unified","5001 Case Ave.","Pleasanton","CA","94566","Regular School","Open","Middle","Alameda County","6, 7, 8","1238","56.09","22.07","No","150","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/286","060002009682","City, Small","","","","","","1238","","","","","","","","774","874","828","","","","","","0","","1102","334","42","832","6","4","156","44.51","13.49","1.70","33.60","0.24","0.16","6.30","","",""
"Harvest Park Preschool Center","Pleasanton Unified","4900 Valley Ave.","Pleasanton","CA","94566","Regular School","Open","Other","Alameda County","","","","","No","","Unknown","","","","060002013494","City, Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sunol Glen Elementary","Sunol Glen Unified","11601 Main St.","Sunol","CA","94586","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","293","13.50","21.70","No","28","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/318","060002109291","Rural, Fringe","","","","","","293","","72","72","68","70","64","68","68","64","40","","","","","","0","","276","108","6","120","2","10","64","47.10","18.43","1.02","20.48","0.34","1.71","10.92","","",""
"Mission Valley ROCP","Mission Valley ROC/P","5019 Stevenson Blvd.","Fremont","CA","94538","Career and Technical School","Open","High","Alameda County","9, 10, 11, 12","0","","","","","Not Title I Eligible School","","","http://www.greatschools.net/modperl/browse_school/CA/5031","060008610733","Suburban, Large","","","","","","0","","","","","","","","","","","0","0","0","0","","0","","0","0","0","0","0","0","0","","","","","","","","Insufficient data","Insufficient data","Not inner city high school"
"William G. Paden Elementary","Alameda Unified","444 Central Ave.","Alameda","CA","94501","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","374","15.00","24.93","No","167","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/15","060177000003","Suburban, Large","","","","","","374","","196","100","142","122","92","96","","","","","","","","","0","","162","128","56","266","6","4","126","21.66","17.11","7.49","35.56","0.80","0.53","16.84","","",""
"Bay Farm","Alameda Unified","200 Aughinbaugh Way","Alameda","CA","94502","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","640","27.70","23.10","No","71","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/2","060177000006","Suburban, Large","","","","","","640","","148","150","150","150","164","202","114","94","108","","","","","","0","","318","162","44","498","","2","256","24.84","12.66","3.44","38.91","","0.16","20.00","","",""
"Alameda High","Alameda Unified","2201 Encinal Ave.","Alameda","CA","94501","Regular School","Open","High","Alameda County","9, 10, 11, 12","1776","76.19","23.31","No","410","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/1","060177000041","Suburban, Large","","","","","","1776","","","","","","","","","","","828","902","850","894","","0","78","1078","426","186","1646","6","18","192","30.35","11.99","5.24","46.34","0.17","0.51","5.41","Not all female high school","Majority minority high school","Inner city high school"
"Amelia Earhart Elementary","Alameda Unified","400 Packet Landing Rd.","Alameda","CA","94502","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","643","24.00","26.79","No","82","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/4","060177000043","Suburban, Large","","","","","","643","","298","206","206","194","192","190","","","","","","","","","0","","306","162","32","538","2","2","244","23.79","12.60","2.49","41.84","0.16","0.16","18.97","","",""
"Encinal Junior/Senior High","Alameda Unified","210 Central Ave.","Alameda","CA","94501","Regular School","Open","High","Alameda County","6, 7, 8, 9, 10, 11, 12","1329","64.26","20.68","No","587","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/6","060177000045","Suburban, Large","","","","","","1329","","","","","","","","170","210","210","544","500","494","530","","0","","648","414","366","982","12","32","204","24.38","15.58","13.77","36.95","0.45","1.20","7.67","Not all female high school","Majority minority high school","Not inner city high school"
"Henry Haight Elementary","Alameda Unified","2025 Santa Clara Ave.","Alameda","CA","94501","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","554","22.00","25.18","No","276","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/8","060177000047","Suburban, Large","","","","","","554","","246","180","150","186","162","184","","","","","","","","","0","","156","236","74","458","2","12","170","14.08","21.30","6.68","41.34","0.18","1.08","15.34","","",""
