"School Name","Education Agency","School Location","City","State","Zip","Type of School","School status at time of last report","School Level","County","Grades Offered","Total Students","Full-time-equivalent Classroom Teachers","Student/Teacher Ratio","National School Lunch Program Status","Free and Reduced-price Lunch Eligible Students","Title I Eligible","School-wide Title I","Title I Status","GreatSchools Link","NCES Public School ID","Urban-centric Locale","Magnet School","Charter School","Shared-time School","Virtual School","Reconstituted","Total Students","Prekindergarten Students","Kindergarten Students","Grade 1 Students","Grade 2 Students","Grade 3 Students","Grade 4 Students","Grade 5 Students","Grade 6 Students","Grade 7 Students","Grade 8 Students","Grade 9 Students","Grade 10 Students","Grade 11 Students","Grade 12 Students","High School Students Earning College Credit or CTE Students Beyo","Adult Education Students","Ungraded Students","White, Non-Hispanic Students","Hispanic Students","Black, Non-Hispanic Students","Asian, Non-Hispanic Students","American Indian/Alaska Native Students","Hawaiian Native/Pacific Islander Students","Two or More Races Students","Percent White, Non-Hispanic","Percent Hispanic","Percent Black, Non-Hispanic","Percent Asian, Non-Hispanic","Percent American Indian/Alaska Native","Percent Hawaiian Native/Pacific Islander","Percent Two or More Races","All Female High School","Majority Minority High School","Inner City High School"
"Manzanita SEED Elementary","Oakland Unified","2409 E. 27th St.","Oakland","CA","94601","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","400","17.00","23.53","No","263","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/5026","062805011557","City, Large","","","","","","400","","174","144","124","106","122","130","","","","","","","","","0","","84","546","88","36","2","2","42","10.50","68.25","11.00","4.50","0.25","0.25","5.25","","",""
"Sankofa Academy","Oakland Unified","581 61st St.","Oakland","CA","94609","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","187","8.50","22.00","Yes under Community Eligibility Option (CEO)","169","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/5027","062805011558","City, Large","","","","","","187","","94","70","60","46","58","46","","","","","","","","","0","","14","50","250","22","","","38","3.74","13.37","66.84","5.88","","","10.16","","",""
"Rise Community","Oakland Unified","8521 A St.","Oakland","CA","94621","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","242","10.00","24.20","No","236","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/5028","062805011559","City, Large","","","","","","242","","98","72","80","86","84","64","","","","","","","","","0","","4","310","142","24","","","4","0.83","64.05","29.34","4.96","","","0.83","","",""
"ROOTS International Academy","Oakland Unified","1390 66th Ave.","Oakland","CA","94621","Regular School","Open","Middle","Alameda County","6, 7, 8","309","24.10","12.82","No","299","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7092","062805011907","City, Large","","","","","","309","","","","","","","","178","234","206","","","","","","0","","22","370","178","34","","2","12","3.56","59.87","28.80","5.50","","0.32","1.94","","",""
"United for Success Academy","Oakland Unified","2101 35th Ave.","Oakland","CA","94601","Regular School","Open","Middle","Alameda County","6, 7, 8","359","22.10","16.24","Yes under Community Eligibility Option (CEO)","342","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7037","062805011909","City, Large","","","","","","359","","","","","","","","258","246","214","","","","","","0","","6","496","124","56","","20","16","0.84","69.08","17.27","7.80","","2.79","2.23","","",""
"KIPP Bridge Academy","Oakland Unified","1700 Market St.","Oakland","CA","94607","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","560","6.50","86.15","No","488","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7721","062805011935","City, Large","","Charter school","","","","560","","148","108","110","108","106","168","162","126","84","","","","","","0","","126","244","638","52","6","12","42","11.25","21.79","56.96","4.64","0.54","1.07","3.75","","",""
"Elmhurst Community Prep","Oakland Unified","1800 98th Ave.","Oakland","CA","94603","Regular School","Open","Middle","Alameda County","6, 7, 8","371","23.70","15.65","Yes under Community Eligibility Option (CEO)","352","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7060","062805011961","City, Large","","","","","","371","","","","","","","","232","246","264","","","","","","0","","6","486","206","8","","24","12","0.81","65.50","27.76","1.08","","3.23","1.62","","",""
"Fred T. Korematsu Discovery Academy","Oakland Unified","10315 E St.","Oakland","CA","94603","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","339","14.00","24.21","No","313","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7115","062805011977","City, Large","","","","","","339","","122","98","106","100","116","136","","","","","","","","","0","","16","496","104","28","2","20","12","2.36","73.16","15.34","4.13","0.29","2.95","1.77","","",""
"Conservatory of Vocal/Instrumental Arts","Oakland Unified","3800 Mountain Blvd.","Oakland","CA","94619","Regular School","Closed","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","","","","","","Unknown","","","","062805012006","City, Large","","Charter school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Indian Public Charter II","Oakland Unified","171 12th St.","Oakland","CA","94607","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","647","29.00","22.31","No","453","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7493","062805012013","City, Large","","Charter school","","","","647","","102","104","108","122","126","132","192","198","210","","","","","","0","","34","158","366","710","4","","22","2.63","12.21","28.28","54.87","0.31","","1.70","","",""
"Alliance Academy","Oakland Unified","1800 98th Ave.","Oakland","CA","94603","Regular School","Open","Middle","Alameda County","6, 7, 8","358","23.20","15.43","No","344","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7059","062805012027","City, Large","","","","","","358","","","","","","","","244","212","260","","","","","","0","","6","512","130","30","2","28","8","0.84","71.51","18.16","4.19","0.28","3.91","1.12","","",""
"ARISE High","Oakland Unified","3301 E. 12th St. Ste. 205","Oakland","CA","94601","Regular School","Open","High","Alameda County","9, 10, 11, 12","288","18.60","15.48","No","246","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7573","062805012040","City, Large","","Charter school","","","","288","","","","","","","","","","","174","148","134","120","","0","","","532","16","22","","","6","","92.36","2.78","3.82","","","1.04","Not all female high school","Insufficient data","Inner city high school"
"Oakland Charter High","Oakland Unified","2433 Coolidge Ave.","Oakland","CA","94601","Regular School","Open","High","Alameda County","9, 10, 11, 12","412","","","No","197","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7494","062805012041","City, Large","","Charter school","","","","412","","","","","","","","","","","250","200","192","182","","0","","12","450","34","324","","","4","1.46","54.61","4.13","39.32","","","0.49","Not all female high school","Majority minority high school","Inner city high school"
"West Oakland Middle","Oakland Unified","991 14th St.","Oakland","CA","94607","Regular School","Open","Middle","Alameda County","6, 7, 8","202","13.70","14.74","Yes under Community Eligibility Option (CEO)","194","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7720","062805012048","City, Large","","","","","","202","","","","","","","","146","114","144","","","","","","0","","34","50","266","36","2","2","14","8.42","12.38","65.84","8.91","0.50","0.50","3.47","","",""
"Oakland International High","Oakland Unified","4521 Webster St.","Oakland","CA","94609","Alternative School","Open","High","Alameda County","9, 10, 11, 12","367","24.00","15.29","Yes under Community Eligibility Option (CEO)","353","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7625","062805012049","City, Large","","","","","","367","","","","","","","","","","","116","218","210","190","","0","","52","466","44","152","","2","18","7.08","63.49","5.99","20.71","","0.27","2.45","Not all female high school","Majority minority high school","Not inner city high school"
"Learning Without Limits","Oakland Unified","2035 40th Ave.","Oakland","CA","94601","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","426","20.16","21.13","Yes under Provision 2","378","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7518","062805012054","City, Large","","Charter school","","","","426","","150","134","142","148","134","144","","","","","","","","","0","","8","618","136","66","","16","8","0.94","72.54","15.96","7.75","","1.88","0.94","","",""
"Greenleaf Elementary","Oakland Unified","6328 E. 17th St.","Oakland","CA","94621","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","638","27.36","23.32","Yes under Community Eligibility Option (CEO)","604","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7658","062805012055","City, Large","","","","","","638","","180","148","148","140","164","152","110","126","108","","","","","","0","","22","1062","132","22","2","8","28","1.72","83.23","10.34","1.72","0.16","0.63","2.19","","",""
"Civicorps Corpsmember Academy","Oakland Unified","101 Myrtle St.","Oakland","CA","94607","Regular School","Open","High","Alameda County","9, 10, 11, 12, Adult Education","71","","","No","68","Unknown","","","http://www.greatschools.net/modperl/browse_school/CA/7431","062805012056","City, Large","","Charter school","","","","71","","","","","","","","","","","0","0","0","142","","0","","0","40","76","8","2","2","14","0.00","28.17","53.52","5.63","1.41","1.41","9.86","Not all female high school","Majority minority high school","Inner city high school"
"Community United Elementary","Oakland Unified","6701 International Blvd.","Oakland","CA","94621","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","367","18.00","20.39","No","347","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7671","062805012058","City, Large","","","","","","367","","146","128","108","122","112","118","","","","","","","","","0","","18","500","152","24","","4","36","2.45","68.12","20.71","3.27","","0.54","4.90","","",""
"East Oakland Pride Elementary","Oakland Unified","8000 Birch St.","Oakland","CA","94621","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","351","14.00","25.07","Yes under Community Eligibility Option (CEO)","336","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7689","062805012059","City, Large","","","","","","351","","116","108","90","134","142","112","","","","","","","","","0","","4","490","160","18","4","2","24","0.57","69.80","22.79","2.56","0.57","0.28","3.42","","",""
"Ralph J. Bunche High","Oakland Unified","1240 18th St.","Oakland","CA","94607","Alternative School","Open","High","Alameda County","9, 10, 11, 12","100","10.70","9.35","Yes under Community Eligibility Option (CEO)","87","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/4836","062805012325","City, Large","","","","","","100","","","","","","","","","","","4","14","78","104","","0","","4","60","122","4","","","10","2.00","30.00","61.00","2.00","","","5.00","Not all female high school","Majority minority high school","Inner city high school"
"Aspire Golden State College Preparatory Academy","Oakland Unified","1009 66th Ave.","Oakland","CA","94610","Regular School","Open","High","Alameda County","6, 7, 8, 9, 10, 11, 12","609","21.50","28.33","No","550","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/4802","062805012331","City, Large","","Charter school","","","","609","","","","","","","","190","192","184","178","188","146","140","","0","","2","1018","182","4","4","","8","0.16","83.58","14.94","0.33","0.33","","0.66","Not all female high school","Majority minority high school","Inner city high school"
"Young Adult Program","Oakland Unified","1000 BRd.way Ste. 398","Oakland","CA","94607","Special Education School","Open","Other","Alameda County","Adult Education","82","","","No","7","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/0953","062805012611","City, Large","","","","","","82","","","","","","","","","","","","","","","","0","164","8","52","88","10","0","4","2","4.88","31.71","53.66","6.10","0.00","2.44","1.22","","",""
"Vincent Academy","Oakland Unified","2501 Chestnut St.","Oakland","CA","94607","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","266","12.00","22.17","No","216","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/5815","062805012648","City, Large","","Charter school","","","","266","","120","140","94","54","42","82","","","","","","","","","0","","30","94","354","24","","","30","5.64","17.67","66.54","4.51","","","5.64","","",""
"Infant and Preschool Program","Oakland Unified","3550 64th Ave.","Oakland","CA","94605","Regular School","Open","Other","Alameda County","","","","","No","","Unknown","","","","062805012842","City, Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LPS Oakland R & D Campus","Oakland Unified","8601 MacArthur Blvd.","Oakland","CA","94605","Regular School","Open","High","Alameda County","9, 10, 11, 12","417","19.57","21.31","Yes under Provision 2","385","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/6959","062805013155","City, Large","","Charter school","","","","417","","","","","","","","","","","258","228","224","124","","0","","2","740","64","14","2","10","2","0.24","88.73","7.67","1.68","0.24","1.20","0.24","Not all female high school","Majority minority high school","Inner city high school"
"Aspire College Academy","Oakland Unified","8030 Atherton St.","Oakland","CA","94605","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","278","12.60","22.06","No","260","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/1211","062805013676","City, Large","","Charter school","","","","278","","96","90","92","90","82","106","","","","","","","","","0","","","418","106","","2","12","18","","75.18","19.06","","0.36","2.16","3.24","","",""
"East Bay Innovation Academy","Oakland Unified","3400 Malcolm Ave.","Oakland","CA","94605","Regular School","Open","High","Alameda County","6, 7, 8, 9, 10, 11, 12","497","19.50","25.49","No","117","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/1946","062805013735","City, Large","","Charter school","","","","497","","","","","","","","248","242","238","166","100","0","0","","0","","286","298","182","60","4","10","154","28.77","29.98","18.31","6.04","0.40","1.01","15.49","Not all female high school","Majority minority high school","Not inner city high school"
"Downtown Charter Academy","Oakland Unified","2000 Dennison St.","Oakland","CA","94606","Regular School","Open","Middle","Alameda County","6, 7, 8","275","","","No","134","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/2007","062805013752","City, Large","","Charter school","","","","275","","","","","","","","210","142","198","","","","","","0","","4","86","40","412","","","8","0.73","15.64","7.27","74.91","","","1.45","","",""
"Castlemont Primary Academy","Oakland Unified","8711 MacArthur Blvd.","Oakland","CA","94605","Regular School","Closed","Other","Alameda County","","","","","","","Unknown","","","","062805013864","City, Large","","Charter school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Conservatory of Vocal/Instrumental Arts High","Oakland Unified","12500 Campus Dr. Bldg. D","Oakland","CA","94619","Regular School","Open","High","Alameda County","9, 10, 11, 12","72","","","No","39","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/2014","062805013888","City, Large","","Charter school","","","","72","","","","","","","","","","","44","40","22","38","","0","","10","36","92","6","","","","6.94","25.00","63.89","4.17","","","","Not all female high school","Majority minority high school","Not inner city high school"
"Francophone Charter School of Oakland","Oakland Unified","9736 Lawlor St.","Oakland","CA","94605","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","190","10.00","19.00","No","49","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/2013","062805013942","City, Large","","Charter school","","","","190","","108","100","90","40","20","22","0","0","0","","","","","","0","","136","76","68","28","0","0","72","35.79","20.00","17.89","7.37","0.00","0.00","18.95","","",""
"Lodestar: A Lighthouse Community Charter Public","Oakland Unified","2634 Pleasant St.","Oakland","CA","94602","Regular School","Open","Other","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","303","12.00","25.25","No","205","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/2485","062805014027","City, Large","","Charter school","","","","303","","92","114","106","98","0","0","70","126","0","0","0","0","0","","0","","28","394","154","18","0","2","10","4.62","65.02","25.41","2.97","0.00","0.33","1.65","","",""
"Havens Elementary","Piedmont City Unified","323 Highland Ave.","Piedmont","CA","94611","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","476","21.20","22.45","No","6","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/273","063033004730","Suburban, Large","","","","","","476","","194","138","134","142","140","204","","","","","","","","","0","","512","54","6","172","","","208","53.78","5.67","0.63","18.07","","","21.85","","",""
"Wildwood Elementary","Piedmont City Unified","301 Wildwood Ave","Piedmont","CA","94611","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","302","12.00","25.17","No","3","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/277","063033004733","Suburban, Large","","","","","","302","","88","96","88","96","136","100","","","","","","","","","0","","360","70","","76","","","98","59.60","11.59","","12.58","","","16.23","","",""
"Millennium High Alternative","Piedmont City Unified","760 Magnolia Ave.","Piedmont","CA","94611","Alternative School","Open","High","Alameda County","9, 10, 11, 12","60","5.50","10.91","No","10","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/274","063033007819","Suburban, Large","","","","","","60","","","","","","","","","","","12","26","46","36","","0","","52","20","18","10","2","","18","43.33","16.67","15.00","8.33","1.67","","15.00","Not all female high school","Majority minority high school","Not inner city high school"
"Piedmont Preschool","Piedmont City Unified","760 Magnolia Ave.","Piedmont","CA","94611","Regular School","Open","Other","Alameda County","","","","","No","","Unknown","","","","063033013442","Suburban, Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bancroft Middle","San Leandro Unified","1150 Bancroft Ave.","San Leandro","CA","94577","Regular School","Open","Middle","Alameda County","6, 7, 8","1048","45.45","23.06","No","716","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/291","063468005831","City, Small","","","","","","1048","","","","","","","","706","672","718","","","","","","0","","194","1158","378","226","12","26","102","9.26","55.25","18.03","10.78","0.57","1.24","4.87","","",""
"Garfield Elementary","San Leandro Unified","13050 Aurora Dr.","San Leandro","CA","94577","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","412","16.60","24.82","No","264","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/292","063468005833","City, Small","","","","","","412","","148","114","124","116","132","190","","","","","","","","","0","","50","418","108","170","2","12","64","6.07","50.73","13.11","20.63","0.24","1.46","7.77","","",""
"Jefferson Elementary","San Leandro Unified","14300 Bancroft Ave.","San Leandro","CA","94578","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","609","25.00","24.36","No","477","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/293","063468005834","City, Small","","","","","","609","","208","224","210","184","178","214","","","","","","","","","0","","54","756","184","166","2","6","50","4.43","62.07","15.11","13.63","0.16","0.49","4.11","","",""
"Monroe Elementary","San Leandro Unified","3750 Monterey Blvd.","San Leandro","CA","94578","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","376","16.00","23.50","No","242","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/297","063468005838","City, Small","","","","","","376","","164","110","110","106","128","134","","","","","","","","","0","","72","298","68","254","","4","56","9.57","39.63","9.04","33.78","","0.53","7.45","","",""
"Roosevelt Elementary","San Leandro Unified","951 Dowling Blvd.","San Leandro","CA","94577","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","528","19.00","27.79","No","178","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/299","063468005841","City, Small","","","","","","528","","204","164","184","188","156","160","","","","","","","","","0","","302","328","132","148","6","16","124","28.60","31.06","12.50","14.02","0.57","1.52","11.74","","",""
"San Leandro High","San Leandro Unified","2200 Bancroft Ave.","San Leandro","CA","94577","Regular School","Open","High","Alameda County","9, 10, 11, 12","2657","116.00","22.91","No","1599","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/300","063468005842","City, Small","","","","","","2657","","","","","","","","","","2","1294","1352","1304","1362","","0","","438","2438","830","1354","10","62","182","8.24","45.88","15.62","25.48","0.19","1.17","3.42","Not all female high school","Majority minority high school","Not inner city high school"
"Washington Elementary","San Leandro Unified","250 Dutton Ave.","San Leandro","CA","94577","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","382","17.00","22.47","No","278","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/301","063468005843","City, Small","","","","","","382","","168","98","150","94","102","152","","","","","","","","","0","","60","480","84","80","2","4","54","7.85","62.83","10.99","10.47","0.26","0.52","7.07","","",""
"Wilson Elementary","San Leandro Unified","1300 Williams St.","San Leandro","CA","94577","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","722","26.50","27.25","No","528","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/302","063468005844","City, Small","","","","","","722","","276","212","228","236","246","246","","","","","","","","","0","","68","778","66","448","2","18","64","4.71","53.88","4.57","31.02","0.14","1.25","4.43","","",""
"Madison Elementary","San Leandro Unified","14751 Juniper St.","San Leandro","CA","94579","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","488","19.00","25.68","No","241","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/295","063468007482","City, Small","","","","","","488","","196","162","168","138","160","152","","","","","","","","","0","","74","240","74","524","2","","62","7.58","24.59","7.58","53.69","0.20","","6.35","","",""
"Arroyo High","San Lorenzo Unified","15701 Lorenzo Ave.","San Lorenzo","CA","94580","Regular School","Open","High","Alameda County","9, 10, 11, 12","1830","79.33","23.07","No","933","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/303","063471005845","Suburban, Large","","","","","","1830","","","","","","","","","","","956","878","938","860","","0","28","412","1676","252","1188","10","46","76","11.26","45.79","6.89","32.46","0.27","1.26","2.08","Not all female high school","Majority minority high school","Not inner city high school"
"Colonial Acres Elementary","San Lorenzo Unified","17115 Meekland Ave.","Hayward","CA","94541","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","590","26.00","22.69","No","485","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/307","063471005847","Suburban, Large","","","","","","590","","238","180","198","200","202","162","","","","","","","","","0","","42","932","82","74","2","26","22","3.56","78.98","6.95","6.27","0.17","2.20","1.86","","",""
"Corvallis Elementary","San Lorenzo Unified","14790 Corvallis St.","San Leandro","CA","94579","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","489","22.00","22.23","No","311","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/308","063471005848","City, Small","","","","","","489","","150","158","146","166","182","176","","","","","","","","","0","","92","436","60","316","","20","54","9.41","44.58","6.13","32.31","","2.04","5.52","","",""
"Del Rey Elementary","San Lorenzo Unified","1510 Via Sonya","San Lorenzo","CA","94580","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","526","23.00","22.87","No","326","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/310","063471005850","Suburban, Large","","","","","","526","","214","160","162","204","156","156","","","","","","","","","0","","122","644","64","184","","16","22","11.60","61.22","6.08","17.49","","1.52","2.09","","",""
"Lorenzo Manor Elementary","San Lorenzo Unified","18250 Bengal St.","Hayward","CA","94541","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","587","25.11","23.38","No","440","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/315","063471005855","Suburban, Large","","","","","","587","","230","216","204","174","152","198","","","","","","","","","0","","62","846","72","140","8","14","32","5.28","72.06","6.13","11.93","0.68","1.19","2.73","","",""
"San Lorenzo High","San Lorenzo Unified","50 E. Lewelling Blvd.","San Lorenzo","CA","94580","Regular School","Open","High","Alameda County","9, 10, 11, 12","1412","62.63","22.55","No","962","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/316","063471005859","Suburban, Large","","","","","","1412","","","","","","","","","","","756","666","714","666","","0","22","174","1718","432","394","4","54","48","6.16","60.84","15.30","13.95","0.14","1.91","1.70","Not all female high school","Majority minority high school","Not inner city high school"
"Bohannon Middle","San Lorenzo Unified","800 Bockman Rd.","San Lorenzo","CA","94580","Regular School","Open","Middle","Alameda County","6, 7, 8","807","34.99","23.06","No","542","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/306","063471007483","Suburban, Large","","","","","","807","","","","","","","","522","526","566","","","","","","0","","158","1048","110","228","8","34","28","9.79","64.93","6.82","14.13","0.50","2.11","1.73","","",""
"Grant Elementary","San Lorenzo Unified","879 Grant Ave.","San Lorenzo","CA","94580","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","403","16.00","25.19","No","250","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/312","063471007485","Suburban, Large","","","","","","403","","160","146","132","130","124","114","","","","","","","","","0","","80","426","66","204","","6","24","9.93","52.85","8.19","25.31","","0.74","2.98","","",""
"Washington Manor Middle","San Lorenzo Unified","1170 Fargo Ave.","San Leandro","CA","94579","Regular School","Open","Middle","Alameda County","6, 7, 8","764","31.79","24.03","No","427","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/317","063471008973","City, Small","","","","","","764","","","","","","","","508","502","518","","","","","","0","","146","626","102","562","4","16","72","9.55","40.97","6.68","36.78","0.26","1.05","4.71","","",""
"KIPP Summit Academy","San Lorenzo Unified","2005 Via Barrett","San Lorenzo","CA","94580","Regular School","Open","Middle","Alameda County","5, 6, 7, 8","416","16.00","26.00","No","315","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7047","063471011159","Suburban, Large","","Charter school","","","","416","","","","","","","210","208","208","206","","","","","","0","","30","484","28","264","2","2","22","3.61","58.17","3.37","31.73","0.24","0.24","2.64","","",""
"East Bay Arts High","San Lorenzo Unified","20450 Royal Ave.","Hayward","CA","94541","Alternative School","Open","High","Alameda County","9, 10, 11, 12","220","13.93","15.79","No","145","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/7040","063471011567","Suburban, Large","","","","","","220","","","","","","","","","","","156","108","96","80","","0","","44","258","74","34","2","14","14","10.00","58.64","16.82","7.73","0.45","3.18","3.18","Not all female high school","Majority minority high school","Not inner city high school"
"KIPP King Collegiate High","San Lorenzo Unified","2005B Via Barrett","San Lorenzo","CA","94580","Regular School","Open","High","Alameda County","9, 10, 11, 12","618","22.00","28.09","No","404","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7514","063471011893","Suburban, Large","","Charter school","","","","618","","","","","","","","","","","382","326","300","228","","0","","72","610","182","342","2","4","24","5.83","49.35","14.72","27.67","0.16","0.32","1.94","Not all female high school","Majority minority high school","Not inner city high school"
