X,Y,Site,Address,City,State,Type,API,Org
585591.898700406,4157678.51010174,Patterson Elementary,35521 Cabrillo Dr,Fremont,CA,ES,"848",Public
590669.180619314,4153053.27392917,Steven Millard Elementary,5200 Valpey Park Dr,Fremont,CA,ES,"890",Public
588535.69282627,4155829.35782705,Tom Maloney Elementary,38700 Logan Dr,Fremont,CA,ES,"827",Public
591834.953737776,4159110.37862068,Vallejo Mill Elementary,38569 Canyon Heights Dr,Fremont,CA,ES,"806",Public
595020.458161342,4148986.50318096,Warm Springs Elementary,47370 Warm Spring Blvd,Fremont,CA,ES,"936",Public
585577.238261162,4159254.02110136,Warwick Elementary,3375 Warwick Rd,Fremont,CA,ES,"872",Public
588159.358331611,4156999.87317166,Centerville Junior High,37720 Fremont Blvd,Fremont,CA,MS,"835",Public
589583.327550037,4154981.40488582,G. M. Walters Junior High,39600 Logan Dr,Fremont,CA,MS,"808",Public
591621.970392168,4154009.72979653,John M. Horner Junior High,41365 Chapel Way,Fremont,CA,MS,"883",Public
587030.593758472,4157138.6447358,Thornton Junior High,4357 Thornton Ave,Fremont,CA,MS,"868",Public
593428.996499627,4156077.55849884,William Hopkins Junior High,600 Driscoll Rd,Fremont,CA,MS,"992",Public
586777.539628272,4157863.45690416,American High,36300 Fremont Blvd,Fremont,CA,HS,"787",Public
589053.655699922,4155022.6106705,Circle of Independent Learning,4700 Calaveras Ave,Fremont,CA,HS,"737",Public
591100.564761785,4153362.34895302,Irvington High,41800 Blacow Ave,Fremont,CA,HS,"830",Public
589842.975003648,4153970.34807205,John F. Kennedy High,39999 Blacow Rd,Fremont,CA,HS,"711",Public
594343.400075017,4155879.3330586,Mission San Jose High,41717 Palm Ave,Fremont,CA,HS,"948",Public
588790.43796621,4156601.45443998,Washington High,38442 Fremont Blvd,Fremont,CA,HS,"776",Public
591549.368115697,4153025.00151044,Vista Alternative,4455 Seneca Park Ave,Fremont,CA,Small Schools,"0",Public
591549.368115697,4153025.00151044,Robertson High (Continuation),4455 Seneca Park Ave,Fremont,CA,ASAM,"0",Public
582734.222705877,4166462.83260363,Bowman Elementary,520 Jefferson Street,Hayward,CA,ES,"759",Public
579716.89389817,4169222.29999074,Burbank Elementary,222 Burbank Street,Hayward,CA,ES,"670",Public
579512.466733036,4170270.10647096,Cherryland Elementary,585 Willow Avenue,Hayward,CA,ES,"721",Public
583347.941592555,4169737.09432869,East Avenue Elementary,2424 East Ave.,Hayward,CA,ES,"768",Public
578767.674642399,4166024.9798996,Eden Gardens Elementary,2184 Thayer Avenue,Hayward,CA,ES,"723",Public
580700.327262035,4165905.8896708,Eldridge Elementary,26825 Eldridge Avenue,Hayward,CA,ES,"772",Public
583565.330410003,4170829.99165565,Fairview Elementary,23515 Maud Avenue,Hayward,CA,ES,"674",Public
581657.535593571,4170308.9813238,Faith Ringgold School of Arts and Scienc,1570 Ward Street,Hayward,CA,ES,"745",Public
581091.640371664,4166383.70880707,Glassbrook Elementary,975 Schafer Road,Hayward,CA,ES,"679",Public
581837.092521876,4167552.58760518,Harder Elementary,495 Wyeth Road,Hayward,CA,ES,"666",Public
578494.062289636,4168350.42950818,Longwood Elementary,850 Longwood Avenue,Hayward,CA,ES,"641",Public
579409.153095192,4164505.35526151,Lorin A. Eden Elementary,27790 Portsmouth Avenue,Hayward,CA,ES,"740",Public
581657.535593571,4170308.9813238,Markham Elementary,1570 Ward Street,Hayward,CA,ES,"671",Public
580709.106538365,4164843.23145289,Palma Ceia Elementary,27679 Melbourne Avenue,Hayward,CA,ES,"772",Public
579908.470982634,4167702.37650485,Park Elementary,411 Larchmont Street,Hayward,CA,ES,"680",Public
581770.307516855,4164835.6807695,Ruus Elementary,28027 Dickens Ave,Hayward,CA,ES,"720",Public
580526.257877953,4166587.74426139,Schafer Park Elementary,26268 Flamingo Avenue,Hayward,CA,ES,"681",Public
579894.160346051,4166143.54764908,Southgate Elementary,26601 Calaroga Avenue,Hayward,CA,ES,"731",Public
586397.44702103,4167951.21421706,Stonebrae Elementary,28761 Hayward Blvd,Hayward,CA,ES,"802",Public
580464.683628782,4171527.68074985,Strobridge Elementary,21400 Bedford Drive,Hayward,CA,ES,"713",Public
585010.669002869,4164545.99374386,Treeview Elementary,30565 Treeview St.,Hayward,CA,ES,"739",Public
581581.125742331,4165992.35855325,Tyrrell Elementary,27000 Tyrrell Avenue,Hayward,CA,ES,"718",Public
578547.703900174,4166125.6716861,Anthony W. Ochoa Middle,2121 Depot Road,Hayward,CA,MS,"718",Public
581228.847082046,4169622.20079421,Bret Harte Middle,1047 E Street,Hayward,CA,MS,"729",Public
582683.043533355,4165946.41304072,Cesar Chavez Middle,27845 Whitman Street,Hayward,CA,MS,"715",Public
580074.97115285,4165663.31932474,"Martin Luther King, Jr., Middle",26890 Holly Hill Ave.,Hayward,CA,MS,"725",Public
580183.066897573,4168511.32356237,Winton Middle,119 Winton Ave.,Hayward,CA,MS,"662",Public
582165.525712968,4169871.94817403,Hayward High,1633 East Ave.,Hayward,CA,HS,"614",Public
583146.57096366,4168701.24674474,Impact Academy of Arts & Technology,2021 Highland Boulevard,Hayward,CA,HS,"721",Public
580499.672940442,4164506.90292741,Leadership Public Schools - Hayward,28000 Calaroga Avenue,Hayward,CA,HS,"777",Public
580255.658497341,4164624.28041362,Mt. Eden High,2300 Panama St.,Hayward,CA,HS,"682",Public
582381.558583282,4166577.06548686,Tennyson High,27035 Whitman Street,Hayward,CA,HS,"607",Public
579469.352070643,4169804.67757068,Brenkwitz High,22100(A) Princeton Street,Hayward,CA,ASAM,"0",Public
612953.830423969,4175785.26067594,Altamont Creek Elementary,6500 Garaventa Ranch Road,Livermore,CA,ES,"870",Public
612118.813009706,4171482.41817445,Arroyo Seco Elementary,5280 Irene Way,Livermore,CA,ES,"848",Public
608382.771016669,4172231.96273343,Don Gaspar De Portola Elementary,2451 Portola Avenue,Livermore,CA,ES,"747",Public
606140.882135088,4169569.17709423,Emma C. Smith Elementary,391 Ontario Drive,Livermore,CA,ES,"901",Public
610881.784998004,4171638.38092215,Jackson Avenue Elementary,554 Jackson Avenue,Livermore,CA,ES,"849",Public
607285.288390717,4169840.43010871,Joe Michell Elementary,1001 Elaine Avenue,Livermore,CA,ES,"821",Public
612078.745013928,4175193.48138303,Leo R. Croce Elementary,5650 Scenic Avenue,Livermore,CA,ES,"867",Public
606985.237336531,4171448.28893009,Marylin Avenue Elementary,800 Marylin Avenue,Livermore,CA,ES,"784",Public
605422.480446717,4171968.11061548,Rancho Las Positas Elementary,401 East Jack London Bl.,Livermore,CA,ES,"858",Public
608173.127969741,4169162.38936528,Sunset Elementary,1671 Frankfurt Way,Livermore,CA,ES,"904",Public
612022.784461988,4176220.67787295,Andrew N. Christensen Middle,5757 Haggin Oaks Avenue,Livermore,CA,MS,"822",Public
610222.256871678,4171016.7838556,East Avenue Middle,3951 East Avenue,Livermore,CA,MS,"819",Public
608718.22527657,4171811.22483319,Junction Avenue Middle,298 Junction Avenue,Livermore,CA,MS,"762",Public
606507.247126393,4169272.49811782,William Mendenhall Middle,170 I EI Padro Drive,Livermore,CA,MS,"858",Public
606733.204400101,4170390.15959728,Granada High,400 Wall Street,Livermore,CA,HS,"830",Public
609194.778172671,4171098.95174125,Livermore High,600 Maple Street,Livermore,CA,HS,"764",Public
606359.788790149,4170189.74183047,Livermore Valley Charter Preparatory High,543 Sonoma Ave.,Livermore,CA,9 to 12,"0",Public
608752.469092376,4170896.51492988,Del Valle Continuation High,2253 Fifth Street,Livermore,CA,ASAM,"0",Public
608752.469092376,4170896.51492988,Phoenix High (Continuation),2253 Fifth Street,Livermore,CA,ASAM,"0",Public
611111.915369269,4170744.26598179,Vineyard Alternative,1401 Almond Avenue,Livermore,CA,ASAM,"0",Public
581495.843347098,4161350.37224232,Alvarado Elementary,31100 Fredi St,Union City,CA,ES,"826",Public
581537.997159681,4160294.03504537,Cabello Student Support Center,4500 Cabello St,Union City,CA,ES,"0",Public
581706.651515851,4158166.22992076,Delaine Eastin Elementary,34901 Eastin Dr,Union City,CA,ES,"879",Public
586868.946788863,4162104.46084961,Guy Jr. Emanuele Elementary,100 Decoto Rd,Union City,CA,ES,"771",Public
585064.555116014,4163521.02890601,Hillview Crest Elementary,31410 Wheelon Av,Union City,CA,ES,"753",Public
581976.487653131,4158751.64987264,Pioneer Elementary,32737 Bel Aire St,Union City,CA,ES,"854",Public
585871.518049557,4161437.45298518,Searles Elementary,33629 15th St,Union City,CA,ES,"760",Public
